Planet,Orbital_Period_(days),Distance_from_Sun_(10^6_km),Eccentricity,Inclination_(deg),Orbital_Speed_(km/s)
Earth,,,,,
Mars,,,,,
Jupiter,,,,,
Saturn,,,,,
Uranus,,,,,
Neptune,,,,,
