Planet,Magnetic_Field_Strength_(μT),Main_Components,Avg_Temperature_(K),Surface_Pressure_(Pa),Number_of_Moons
Earth,,,,,
Mars,,,,,
Jupiter,,,,,
Saturn,,,,,
Uranus,,,,,
Neptune,,,,,
