Planet,Mass_(10^24_kg),Diameter_(km),Density_(kg/m^3),Gravity_(m/s^2),Escape_Velocity_(km/s)
Earth,,,,,
Mars,,,,,
Jupiter,,,,,
Saturn,,,,,
Uranus,,,,,
Neptune,,,,,
